,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
442,442,Suntrust Bank,411 N Main St,GAINESVILLE,FL,32601,29.654998,-82.324621,522110,52211002,Commercial Banking,0,79.0,0,79,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
485,485,Wells Fargo Bank,104 N Main St # 1,GAINESVILLE,FL,32601,29.653002,-82.326121,522110,52211002,Commercial Banking,0,85.0,0,85,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
1016,1016,Merchants & Southern Bank,5010 NW 43rd St,GAINESVILLE,FL,32606,29.700485999999998,-82.38950899999999,522110,52211002,Commercial Banking,0,15.0,0,15,868,429,406,462,47%,53%,679,0,0,189,0,0,0,183,496,78.22580645,0.0,0.0,21.77419355,0.0,0.0,0.0,21.08294931,2.01,254,310,229,150,34,423,346,0,0,0,0,0,77,262,525,0,0,26,30,0,16,49,26,9,89,108,0,39,9,0,28,53267,14.28571429,3.68663594
1035,1035,Wells Fargo Bank,5220 NW 43rd St,GAINESVILLE,FL,32606,29.702713,-82.389617,522110,52211002,Commercial Banking,0,5.0,0,5,868,429,406,462,47%,53%,679,0,0,189,0,0,0,183,496,78.22580645,0.0,0.0,21.77419355,0.0,0.0,0.0,21.08294931,2.01,254,310,229,150,34,423,346,0,0,0,0,0,77,262,525,0,0,26,30,0,16,49,26,9,89,108,0,39,9,0,28,53267,14.28571429,3.68663594
1117,1117,TD Bank,4620 NW 39th Ave # A,GAINESVILLE,FL,32606,29.689640999999998,-82.392604,522110,52211002,Commercial Banking,0,6.0,0,6,4273,1656,2181,2092,51%,49%,3052,313,0,812,0,18,78,263,2822,71.42522818,7.32506436,0.0,19.00304236,0.0,0.42124971,1.8254153999999998,6.15492628,2.57,676,1479,1453,1330,40,2122,1994,0,0,24,0,0,104,1487,2708,156,128,32,40,171,64,47,38,0,149,55,201,76,92,148,259,60288,15.328808800000003,11.70138076
1155,1155,Capital City Bank,4040 NW 16th Blvd,GAINESVILLE,FL,32605,29.673135,-82.385824,522110,52211002,Commercial Banking,0,7.0,0,7,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1224,1224,Regions Bank,4100 NW 16th Blvd,GAINESVILLE,FL,32605,29.673533000000003,-82.38656999999999,522110,52211002,Commercial Banking,0,8.0,0,8,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1262,1262,BBVA COMPASS,2246 NW 40TH TER # B,GAINESVILLE,FL,32605,29.673885,-82.384639,522110,52211002,COMMERCIAL BANKING,0,8.0,0,8,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1525,1525,FIFTH THIRD BANK,2630 NW 41ST ST,GAINESVILLE,FL,32606,29.677413,-82.38682,522110,52211002,COMMERCIAL BANKING,0,7.0,0,7,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1576,1576,Gateway Bank-Central Florida,4100 NW 37th Pl,GAINESVILLE,FL,32606,29.687879,-82.386938,522110,52211002,Commercial Banking,0,8.0,0,8,1284,501,557,727,43%,57%,1247,11,0,0,0,26,0,148,1125,97.11838006,0.85669782,0.0,0.0,0.0,2.02492212,0.0,11.52647975,2.56,189,405,340,700,52,685,666,0,0,0,0,0,19,229,986,12,28,10,29,13,24,0,12,15,13,95,78,37,98,0,37,74904,21.4953271,4.12772586
1635,1635,Wells Fargo Bank,4210 NW 37th Pl # 100,GAINESVILLE,FL,32606,29.688197,-82.388529,522110,52211002,Commercial Banking,0,12.0,0,12,1284,501,557,727,43%,57%,1247,11,0,0,0,26,0,148,1125,97.11838006,0.85669782,0.0,0.0,0.0,2.02492212,0.0,11.52647975,2.56,189,405,340,700,52,685,666,0,0,0,0,0,19,229,986,12,28,10,29,13,24,0,12,15,13,95,78,37,98,0,37,74904,21.4953271,4.12772586
2308,2308,BBVA Compass,1140 N Main St,GAINESVILLE,FL,32601,29.662392999999998,-82.324586,522110,52211002,Commercial Banking,0,9.0,0,9,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2330,2330,Capital City Bank,1417 N Main St,GAINESVILLE,FL,32601,29.665484999999997,-82.323863,522110,52211002,Commercial Banking,0,8.0,0,8,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2694,2694,Bank of America,7606 W Newberry Rd,GAINESVILLE,FL,32606,29.660186,-82.42361600000001,522110,52211002,Commercial Banking,0,14.0,0,14,3807,1445,1893,1914,50%,50%,2337,719,0,586,0,45,120,261,2135,61.38691883,18.88626215,0.0,15.39269766,0.0,1.1820331,3.15208826,6.85579196,2.63,1021,1363,1010,826,32,1771,1645,0,64,62,0,0,0,1089,2557,128,0,14,23,0,68,214,52,143,267,114,200,111,85,26,0,52793,18.83372734,5.38481744
2903,2903,FLORIDA CITIZENS BANK,3499 NW 97TH BLVD,GAINESVILLE,FL,32606,29.685738,-82.44873199999999,522110,52211002,COMMERCIAL BANKING,0,8.0,0,8,1445,468,691,754,48%,52%,1282,20,27,50,0,0,66,0,1282,88.71972318,1.38408304,1.86851211,3.46020761,0.0,0.0,4.56747405,0.0,3.09,531,157,567,380,41,525,474,0,0,0,0,0,51,564,859,0,29,0,0,0,0,101,0,0,0,20,181,58,36,27,16,81774,17.92387543,0.0
2945,2945,Florida Capital Bank NA,5023 NW 8th Ave,GAINESVILLE,FL,32605,29.659177000000003,-82.396469,522110,52211002,Commercial Banking,0,10.0,0,10,1606,504,973,633,61%,39%,1191,336,0,13,16,0,50,99,1158,74.15940224,20.92154421,0.0,0.80946451,0.99626401,0.0,3.11332503,6.16438356,3.18,164,984,341,234,24,992,727,152,36,14,28,5,30,859,715,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3,31071,9.6513076,47.75840598
3260,3260,TD BANK,5027 NW 34TH BLVD,GAINESVILLE,FL,32605,29.700809000000003,-82.368341,522110,52211002,COMMERCIAL BANKING,0,10.0,0,10,724,318,357,367,49%,51%,394,294,0,19,0,0,17,84,361,54.419889500000004,40.60773481,0.0,2.62430939,0.0,0.0,2.3480662999999997,11.60220994,2.28,83,233,204,408,51,455,403,0,0,52,0,0,0,157,552,0,0,0,33,62,0,52,0,15,15,30,47,64,0,0,0,49500,9.116022099999999,0.0
3331,3331,Suns Enterprises Inc,3431 NW 39th Ln,GAINESVILLE,FL,32605,29.689783000000002,-82.37513100000001,522110,52211002,Commercial Banking,0,7.0,0,7,2804,1146,1314,1490,47%,53%,2039,210,4,512,0,17,22,347,1709,72.71754636,7.489300999999999,0.14265335,18.2596291,0.0,0.60627675,0.78459344,12.37517832,2.45,579,837,946,884,40,1416,1272,0,26,14,0,86,18,730,2010,56,31,37,65,49,114,25,75,60,85,33,185,162,52,85,32,57500,14.87161198,15.47788873
3405,3405,PNC Bank,4923 NW 43rd St,GAINESVILLE,FL,32606,29.700471999999998,-82.387548,522110,52211002,Commercial Banking,0,8.0,0,8,2804,1146,1314,1490,47%,53%,2039,210,4,512,0,17,22,347,1709,72.71754636,7.489300999999999,0.14265335,18.2596291,0.0,0.60627675,0.78459344,12.37517832,2.45,579,837,946,884,40,1416,1272,0,26,14,0,86,18,730,2010,56,31,37,65,49,114,25,75,60,85,33,185,162,52,85,32,57500,14.87161198,15.47788873
3589,3589,First Community Bank-Southwest,3520 NW 43rd St,GAINESVILLE,FL,32606,29.685289,-82.389833,522110,52211002,Commercial Banking,0,8.0,0,8,2245,898,1183,1062,53%,47%,1558,348,0,110,0,76,153,291,1459,69.3986637,15.50111359,0.0,4.89977728,0.0,3.38530067,6.81514477,12.96213808,2.47,403,746,850,492,40,1061,1022,25,0,3,0,0,11,684,1485,21,0,18,0,81,140,63,56,19,150,100,100,45,59,6,40,54063,17.19376392,2.93986637
3592,3592,Florida Citizens Bank,2810 NW 43rd St # 3,GAINESVILLE,FL,32606,29.678859999999997,-82.389414,522110,52211002,Commercial Banking,0,12.0,0,12,2245,898,1183,1062,53%,47%,1558,348,0,110,0,76,153,291,1459,69.3986637,15.50111359,0.0,4.89977728,0.0,3.38530067,6.81514477,12.96213808,2.47,403,746,850,492,40,1061,1022,25,0,3,0,0,11,684,1485,21,0,18,0,81,140,63,56,19,150,100,100,45,59,6,40,54063,17.19376392,2.93986637
3753,3753,Suntrust Bank,3814 NW 43rd St,GAINESVILLE,FL,32606,29.688084000000003,-82.389402,522110,52211002,Commercial Banking,0,7.0,0,7,2245,898,1183,1062,53%,47%,1558,348,0,110,0,76,153,291,1459,69.3986637,15.50111359,0.0,4.89977728,0.0,3.38530067,6.81514477,12.96213808,2.47,403,746,850,492,40,1061,1022,25,0,3,0,0,11,684,1485,21,0,18,0,81,140,63,56,19,150,100,100,45,59,6,40,54063,17.19376392,2.93986637
4237,4237,Bank of America,1116 W University Ave,GAINESVILLE,FL,32601,29.652365000000003,-82.336294,522110,52211002,Commercial Banking,0,30.0,0,30,975,331,755,220,77%,23%,877,67,0,13,0,0,18,174,721,89.94871795,6.87179487,0.0,1.33333333,0.0,0.0,1.84615385,17.84615385,2.8,0,975,0,0,22,480,297,25,118,0,40,0,0,927,48,44,15,52,109,14,70,14,0,0,0,0,0,13,0,0,0,21434,2.97435897,75.18878101
4458,4458,BBVA Compass,2201 NW 43rd St,GAINESVILLE,FL,32605,29.672595,-82.388513,522110,52211002,Commercial Banking,0,12.0,0,12,1971,863,986,985,50%,50%,1704,142,7,63,0,55,0,65,1704,86.45357686,7.20446474,0.35514967,3.19634703,0.0,2.79046169,0.0,3.29781837,2.28,273,603,643,904,46,944,650,39,104,34,0,13,104,498,1417,87,11,0,45,15,38,0,15,100,74,155,111,76,72,25,39,67431,19.12734652,6.3419584
