,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
13,13,St Patrick Church,500 NE 16th Ave,GAINESVILLE,FL,32601,29.666617,-82.318793,813110,81311008,Religious Organizations,0,5.0,0,5,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
15,15,St Patrick's Church,550 NE 16th Ave,GAINESVILLE,FL,32601,29.667398,-82.319288,813110,81311008,Religious Organizations,0,12.0,0,12,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
175,175,First Presbyterian Chr-Gnsvll,106 SW 3rd St,GAINESVILLE,FL,32601,29.651039,-82.327958,813110,81311008,Religious Organizations,0,3.0,0,3,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
176,176,First Presbyterian Church,106 SW 3rd St,GAINESVILLE,FL,32601,29.650706,-82.328331,813110,81311008,Religious Organizations,0,10.0,0,10,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
179,179,First United Mthdst Chr-Gnsvll,419 NE 1st St,GAINESVILLE,FL,32601,29.655459000000004,-82.32355,813110,81311008,Religious Organizations,0,11.0,0,11,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
253,253,Holy Trinity Episcopal Church,100 NE 1st St,GAINESVILLE,FL,32601,29.652841,-82.32435500000001,813110,81311008,Religious Organizations,0,8.0,0,8,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
254,254,Holy Trinity Episcopal Fndtn,305 NE 1st St,GAINESVILLE,FL,32601,29.654161,-82.323688,813110,81311009,Religious Organizations,0,3.0,0,3,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
335,335,New Life World Tabernacle,133 SE 10th St,GAINESVILLE,FL,32601,29.650378000000003,-82.313011,813110,81311008,Religious Organizations,0,2.0,0,2,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
364,364,Refuge Church of Our Lord,601 NW 2nd St,GAINESVILLE,FL,32601,29.656893,-82.326493,813110,81311008,Religious Organizations,0,2.0,0,2,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
394,394,Salvation Army,639 E University Ave,GAINESVILLE,FL,32601,29.651559000000002,-82.317947,813110,81311008,Religious Organizations,0,12.0,0,12,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
480,480,Visionaries Church of God,606 N Main St,GAINESVILLE,FL,32601,29.657002000000002,-82.325627,813110,81311008,Religious Organizations,0,2.0,0,2,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
527,527,ELCA SOLUTIONS,1025 SE 1ST AVE # B,GAINESVILLE,FL,32601,29.650862,-82.312535,813110,81311008,RELIGIOUS ORGANIZATIONS,0,2.0,0,2,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
