,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
74,74,Alter Ego Fitness,101 SE 2nd Pl # 120,GAINESVILLE,FL,32601,29.649029,-82.323722,713940,71394011,Fitness & Recreational Sports Centers,0,25.0,0,25,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
378,378,Rosa B Williams Ctr,524 NW 1st St,GAINESVILLE,FL,32601,29.656633000000003,-82.326026,713940,71394015,Fitness & Recreational Sports Centers,0,2.0,0,2,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
462,462,Union Academy,524 NW 1st St,GAINESVILLE,FL,32601,29.656633000000003,-82.326026,713940,71394015,Fitness & Recreational Sports Centers,0,6.0,0,6,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
677,677,Dwight H Hunter Pool,1100 NE 14th St,GAINESVILLE,FL,32601,29.662582,-82.306956,713940,71394020,Fitness & Recreational Sports Centers,0,25.0,0,25,718,352,340,378,47%,53%,439,249,0,12,0,18,0,71,386,61.14206128,34.67966574,0.0,1.67130919,0.0,2.50696379,0.0,9.88857939,1.88,118,189,317,188,44,446,287,0,117,0,19,0,23,143,558,47,0,16,8,31,18,0,33,0,58,36,92,13,0,0,0,55652,20.75208914,18.10584958
684,684,Martin Luther King Jr Rec Ctr,1028 NE 14th St,GAINESVILLE,FL,32601,29.661911,-82.30721,713940,71394015,Fitness & Recreational Sports Centers,0,6.0,0,6,718,352,340,378,47%,53%,439,249,0,12,0,18,0,71,386,61.14206128,34.67966574,0.0,1.67130919,0.0,2.50696379,0.0,9.88857939,1.88,118,189,317,188,44,446,287,0,117,0,19,0,23,143,558,47,0,16,8,31,18,0,33,0,58,36,92,13,0,0,0,55652,20.75208914,18.10584958
964,964,H Spurgeon Cherry Pool,1001 NW 31st Dr,GAINESVILLE,FL,32605,29.661396000000003,-82.369353,713940,71394020,Fitness & Recreational Sports Centers,0,75.0,0,75,602,239,321,281,53%,47%,602,0,0,0,0,0,0,54,548,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97009967,2.52,128,171,192,222,41,275,219,6,11,0,12,0,27,162,411,17,12,0,0,0,0,0,0,11,19,31,24,28,0,43,54,105859,17.77408638,9.80066445
1045,1045,Abstract Body Works,4936 NW 39th Ave,GAINESVILLE,FL,32606,29.689073999999998,-82.39624,713940,71394013,Fitness & Recreational Sports Centers,0,2.0,0,2,4273,1656,2181,2092,51%,49%,3052,313,0,812,0,18,78,263,2822,71.42522818,7.32506436,0.0,19.00304236,0.0,0.42124971,1.8254153999999998,6.15492628,2.57,676,1479,1453,1330,40,2122,1994,0,0,24,0,0,104,1487,2708,156,128,32,40,171,64,47,38,0,149,55,201,76,92,148,259,60288,15.328808800000003,11.70138076
1054,1054,Cambrea,4620 NW 39th Ave,GAINESVILLE,FL,32606,29.689640999999998,-82.392604,713940,71394013,Fitness & Recreational Sports Centers,0,2.0,0,2,4273,1656,2181,2092,51%,49%,3052,313,0,812,0,18,78,263,2822,71.42522818,7.32506436,0.0,19.00304236,0.0,0.42124971,1.8254153999999998,6.15492628,2.57,676,1479,1453,1330,40,2122,1994,0,0,24,0,0,104,1487,2708,156,128,32,40,171,64,47,38,0,149,55,201,76,92,148,259,60288,15.328808800000003,11.70138076
1400,1400,Gainesville Health & Fitness,2441 NW 43rd St # 15a,GAINESVILLE,FL,32606,29.675871,-82.387271,713940,71394011,Fitness & Recreational Sports Centers,0,40.0,0,40,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1572,1572,En Core Pilates,4140 NW 37th Pl,GAINESVILLE,FL,32606,29.687909,-82.387916,713940,71394023,Fitness & Recreational Sports Centers,0,5.0,0,5,1284,501,557,727,43%,57%,1247,11,0,0,0,26,0,148,1125,97.11838006,0.85669782,0.0,0.0,0.0,2.02492212,0.0,11.52647975,2.56,189,405,340,700,52,685,666,0,0,0,0,0,19,229,986,12,28,10,29,13,24,0,12,15,13,95,78,37,98,0,37,74904,21.4953271,4.12772586
