,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
110,110,Citizen's Cooperative,435 S Main St,GAINESVILLE,FL,32601,29.647295,-82.324929,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,3,3,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
191,191,Food Max 118,915 E University Ave,GAINESVILLE,FL,32601,29.651518,-82.313939,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,3,3,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
864,864,Gator Spirit Food Store & Coin,1618 NW 1st Ave,GAINESVILLE,FL,32603,29.652848,-82.344188,445110,44511002,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,4,4,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
908,908,GATOR SPIRIT DISCOUNT FOOD,1618 NW 1ST AVE,GAINESVILLE,FL,32603,29.652848,-82.344188,445110,44511002,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,4,4,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
948,948,LENORA FOODS,PO BOX 12004,GAINESVILLE,FL,32604,29.652791999999998,-82.343994,445110,44511002,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,4,4,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
1023,1023,Publix Super Market,5200 NW 43rd St # 401,GAINESVILLE,FL,32606,29.701335999999998,-82.390568,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,350,350,868,429,406,462,47%,53%,679,0,0,189,0,0,0,183,496,78.22580645,0.0,0.0,21.77419355,0.0,0.0,0.0,21.08294931,2.01,254,310,229,150,34,423,346,0,0,0,0,0,77,262,525,0,0,26,30,0,16,49,26,9,89,108,0,39,9,0,28,53267,14.28571429,3.68663594
1037,1037,ADVANCED NUTRITION FOODS,4830 NW 43RD ST # D64,GAINESVILLE,FL,32606,29.697795000000003,-82.389866,445110,44511002,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,4,4,868,429,406,462,47%,53%,679,0,0,189,0,0,0,183,496,78.22580645,0.0,0.0,21.77419355,0.0,0.0,0.0,21.08294931,2.01,254,310,229,150,34,423,346,0,0,0,0,0,77,262,525,0,0,26,30,0,16,49,26,9,89,108,0,39,9,0,28,53267,14.28571429,3.68663594
1186,1186,Fresh Market,4120 NW 16th Blvd,GAINESVILLE,FL,32605,29.674696,-82.386993,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,101,101,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1523,1523,D & C FOODS,4131 NW 28TH LN,GAINESVILLE,FL,32606,29.678917,-82.387771,445110,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,3,3,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
1653,1653,Eastern Market,1349 NW 23rd Ave,GAINESVILLE,FL,32605,29.673507,-82.34169,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,3,3,1809,835,915,894,51%,49%,1707,26,0,49,0,0,27,124,1598,94.3615257,1.43725815,0.0,2.70867883,0.0,0.0,1.49253731,6.85461581,2.17,265,692,352,1000,38,897,664,13,119,0,36,0,65,472,1314,47,29,16,59,9,24,0,62,25,55,95,152,102,28,75,57,72375,20.50856827,4.47761194
2349,2349,Chun Ching Oriental Food Supl,418 NW 8th Ave,GAINESVILLE,FL,32601,29.659883,-82.329335,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,2,2,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2492,2492,Publix Super Market,1302 N Main St,GAINESVILLE,FL,32601,29.663878000000004,-82.32457600000001,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,110,110,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2752,2752,Publix Super Market,1200 NW 76th Blvd,GAINESVILLE,FL,32606,29.663814000000002,-82.425125,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,120,120,3807,1445,1893,1914,50%,50%,2337,719,0,586,0,45,120,261,2135,61.38691883,18.88626215,0.0,15.39269766,0.0,1.1820331,3.15208826,6.85579196,2.63,1021,1363,1010,826,32,1771,1645,0,64,62,0,0,0,1089,2557,128,0,14,23,0,68,214,52,143,267,114,200,111,85,26,0,52793,18.83372734,5.38481744
3031,3031,Winn-Dixie,300 SW 16th Ave,GAINESVILLE,FL,32601,29.636364,-82.32978299999999,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,103,103,2105,1026,1141,964,54%,46%,1533,278,0,227,21,9,37,243,1299,72.82660333,13.20665083,0.0,10.78384798,0.9976246999999999,0.42755344,1.75771971,11.54394299,1.83,47,1610,368,160,26,897,498,10,109,132,96,13,39,1169,936,345,72,59,39,90,38,62,34,76,67,64,54,2,0,0,24,22372,9.21615202,49.07260201
3092,3092,Baker's Sports,2535 NW 18th Way,GAINESVILLE,FL,32605,29.66943,-82.360969,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,3,3,1799,702,933,866,52%,48%,1611,42,15,67,0,0,64,131,1498,89.54974986,2.33463035,0.83379655,3.72429127,0.0,0.0,3.55753196,7.28182324,2.56,304,479,566,900,47,804,676,0,17,0,0,34,77,451,1302,19,14,14,39,10,0,48,0,26,27,86,64,92,92,61,110,100400,16.39799889,3.6131184000000003
3325,3325,La Fortuna Latin Market & Deli,4324 NW 36th St,GAINESVILLE,FL,32605,29.693648,-82.37647199999999,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,4,4,2804,1146,1314,1490,47%,53%,2039,210,4,512,0,17,22,347,1709,72.71754636,7.489300999999999,0.14265335,18.2596291,0.0,0.60627675,0.78459344,12.37517832,2.45,579,837,946,884,40,1416,1272,0,26,14,0,86,18,730,2010,56,31,37,65,49,114,25,75,60,85,33,185,162,52,85,32,57500,14.87161198,15.47788873
4498,4498,Publix Super Market,4115 NW 16th Blvd,GAINESVILLE,FL,32605,29.673232000000002,-82.387331,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,140,140,1971,863,986,985,50%,50%,1704,142,7,63,0,55,0,65,1704,86.45357686,7.20446474,0.35514967,3.19634703,0.0,2.79046169,0.0,3.29781837,2.28,273,603,643,904,46,944,650,39,104,34,0,13,104,498,1417,87,11,0,45,15,38,0,15,100,74,155,111,76,72,25,39,67431,19.12734652,6.3419584
5400,5400,Publix Super Market,125 SW 34th St,GAINESVILLE,FL,32607,29.650423999999997,-82.372231,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,180,180,1297,389,675,622,52%,48%,1297,0,0,0,0,0,0,33,1264,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54433308,3.33,86,931,212,136,22,537,337,0,152,19,0,0,29,860,415,46,33,36,35,45,17,12,0,0,0,9,87,37,0,8,24,29821,7.86430224,60.83269082
5450,5450,Stop & Shop Supermarket,1606 NW 13th St,GAINESVILLE,FL,32609,29.667181,-82.339549,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,3,3,1809,835,915,894,51%,49%,1707,26,0,49,0,0,27,124,1598,94.3615257,1.43725815,0.0,2.70867883,0.0,0.0,1.49253731,6.85461581,2.17,265,692,352,1000,38,897,664,13,119,0,36,0,65,472,1314,47,29,16,59,9,24,0,62,25,55,95,152,102,28,75,57,72375,20.50856827,4.47761194
5500,5500,Th' Canteen,1621 NE Waldo Rd,GAINESVILLE,FL,32609,29.666656,-82.301541,445110,44511002,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,4,4,1733,213,868,865,50%,50%,870,816,0,11,0,19,17,77,846,50.20196192,47.08597807,0.0,0.63473745,0.0,1.09636469,0.98095788,4.44316215,2.42,297,460,655,642,45,217,129,0,9,22,7,0,50,247,1398,81,10,21,21,17,30,10,0,6,7,10,0,0,0,0,0,16845,0.0,87.24966622
5905,5905,Save-A-Lot Food Stores,2605 NW 13th St,GAINESVILLE,FL,32609,29.676973999999998,-82.33898,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,16,16,1380,590,603,777,44%,56%,979,234,0,57,0,32,78,258,826,70.94202899,16.95652174,0.0,4.13043478,0.0,2.31884058,5.65217391,18.69565217,2.34,281,445,522,264,39,714,630,0,0,19,33,0,32,382,948,47,30,88,8,45,26,78,0,22,25,54,45,61,32,29,0,38962,13.76811594,23.39939024
6080,6080,Publix Super Market,2755 SW 91st St,GAINESVILLE,FL,32608,29.629309000000003,-82.436231,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,18,18,2022,809,986,1036,49%,51%,1786,128,42,17,0,0,49,13,1773,88.32838773,6.33036597,2.07715134,0.84075173,0.0,0.0,2.42334322,0.64292779,2.5,596,239,780,814,49,845,682,0,0,0,0,0,163,497,1379,0,66,18,0,16,42,0,49,74,68,26,44,160,25,9,212,102566,28.33827893,0.59347181
