,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
73,73,Allure Night Club,238 W University Ave,GAINESVILLE,FL,32601,29.652375,-82.327713,722410,72241006,Drinking Places Alcoholic Beverages,0,0.0,9,9,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
87,87,Bank Bar & Lounge,18 W University Ave,GAINESVILLE,FL,32601,29.652212,-82.325767,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,5,5,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
128,128,Decadance,12 SW 2nd St,GAINESVILLE,FL,32601,29.651578999999998,-82.326741,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,5,5,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
142,142,Double Down Live,210 SW 2nd Ave,GAINESVILLE,FL,32601,29.650577000000002,-82.326933,722410,72241006,Drinking Places Alcoholic Beverages,0,0.0,14,14,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
153,153,Eight Seconds,201 W University Ave,GAINESVILLE,FL,32601,29.651798,-82.326785,722410,72241006,Drinking Places Alcoholic Beverages,0,0.0,9,9,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
217,217,Gainesville House of Beer,19 W University Ave,GAINESVILLE,FL,32601,29.651912,-82.325711,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,7,7,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
261,261,Infusion Lounge,211 W University Ave,GAINESVILLE,FL,32601,29.651812,-82.327012,722410,72241003,Drinking Places Alcoholic Beverages,0,0.0,6,6,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
295,295,Lillian's Music Store,112 SE 1st St,GAINESVILLE,FL,32601,29.650496999999998,-82.32423399999999,722410,72241006,Drinking Places Alcoholic Beverages,0,0.0,12,12,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
338,338,Palomino Pool Room,19 SE 2nd Pl,GAINESVILLE,FL,32601,29.649472999999997,-82.32435699999999,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,3,3,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
375,375,Rockey's Dueling Piano Bar,112 S Main St,GAINESVILLE,FL,32601,29.650674,-82.32506,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,5,5,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
