,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
784,784,CVS PHARMACY,1522 NW 13TH ST,GAINESVILLE,FL,32601,29.666356,-82.339588,446110,44611009,PHARMACIES & DRUG STORES,0,0.0,15,15,740,325,266,474,36%,64%,726,0,0,0,0,0,14,13,713,98.10810811,0.0,0.0,0.0,0.0,0.0,1.89189189,1.75675676,2.28,130,202,214,388,46,431,418,0,0,0,13,0,0,277,451,0,0,0,45,0,48,0,0,29,16,28,30,58,14,24,33,71771,8.91891892,18.51351351
955,955,WISE'S PHARMACY,PO BOX 13433,GAINESVILLE,FL,32604,29.652791999999998,-82.343994,446110,44611009,PHARMACIES & DRUG STORES,0,0.0,5,5,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
1775,1775,CVS/PHARMACY,916 NW 66th St # 1,GAINESVILLE,FL,32605,29.661184999999996,-82.413023,446110,44611009,Pharmacies & Drug Stores,0,0.0,15,15,1490,421,735,755,49%,51%,1290,74,0,63,0,15,48,514,869,86.57718121,4.96644295,0.0,4.22818792,0.0,1.00671141,3.22147651,34.4966443,3.32,407,419,468,392,30,532,473,0,0,7,23,0,29,454,995,25,12,17,22,49,0,0,21,14,42,23,33,14,40,0,109,60924,20.40268456,28.69198312
2051,2051,Rite Aid,916 NW 66th St,GAINESVILLE,FL,32605,29.661184999999996,-82.413023,446110,44611009,Pharmacies & Drug Stores,0,0.0,7,7,1490,421,735,755,49%,51%,1290,74,0,63,0,15,48,514,869,86.57718121,4.96644295,0.0,4.22818792,0.0,1.00671141,3.22147651,34.4966443,3.32,407,419,468,392,30,532,473,0,0,7,23,0,29,454,995,25,12,17,22,49,0,0,21,14,42,23,33,14,40,0,109,60924,20.40268456,28.69198312
2361,2361,CVS/PHARMACY,1515 NW 13th St,GAINESVILLE,FL,32601,29.666101,-82.33910999999999,446110,44611009,Pharmacies & Drug Stores,0,0.0,15,15,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2362,2362,CVS/PHARMACY,901 N Main St,GAINESVILLE,FL,32601,29.660249,-82.323998,446110,44611009,Pharmacies & Drug Stores,0,0.0,10,10,1846,859,688,1158,37%,63%,1235,447,0,46,0,17,101,120,1146,66.90140845,24.21451788,0.0,2.49187432,0.0,0.92091008,5.47128927,6.50054171,2.11,296,970,408,344,28,809,446,0,252,17,76,0,18,821,991,258,106,135,65,10,45,40,54,46,10,42,26,0,0,22,0,18515,6.17551463,49.89094875
2769,2769,Walgreens,7520 W Newberry Rd,GAINESVILLE,FL,32606,29.659831,-82.423642,446110,44611009,Pharmacies & Drug Stores,0,0.0,40,40,3807,1445,1893,1914,50%,50%,2337,719,0,586,0,45,120,261,2135,61.38691883,18.88626215,0.0,15.39269766,0.0,1.1820331,3.15208826,6.85579196,2.63,1021,1363,1010,826,32,1771,1645,0,64,62,0,0,0,1089,2557,128,0,14,23,0,68,214,52,143,267,114,200,111,85,26,0,52793,18.83372734,5.38481744
3444,3444,Walgreens,5171 NW 43rd St,GAINESVILLE,FL,32606,29.702059000000002,-82.388594,446110,44611009,Pharmacies & Drug Stores,0,0.0,5,5,2804,1146,1314,1490,47%,53%,2039,210,4,512,0,17,22,347,1709,72.71754636,7.489300999999999,0.14265335,18.2596291,0.0,0.60627675,0.78459344,12.37517832,2.45,579,837,946,884,40,1416,1272,0,26,14,0,86,18,730,2010,56,31,37,65,49,114,25,75,60,85,33,185,162,52,85,32,57500,14.87161198,15.47788873
4214,4214,Wise's Pharmacy,708 SW 4th Ave,GAINESVILLE,FL,32601,29.648496,-82.332053,446110,44611009,Pharmacies & Drug Stores,0,0.0,15,15,1183,353,478,705,40%,60%,777,265,0,22,0,32,87,233,643,65.68047337,22.40067625,0.0,1.85967878,0.0,2.70498732,7.35418428,19.69568893,3.31,78,806,251,96,22,590,350,0,26,52,134,28,0,600,574,61,37,47,13,0,16,17,9,40,86,15,12,0,0,0,0,37868,4.98732037,47.92899408
4235,4235,Ayers Pharmacy,720 SW 2nd Ave # 180,GAINESVILLE,FL,32601,29.651497999999997,-82.332458,446110,44611009,Pharmacies & Drug Stores,0,0.0,7,7,975,331,755,220,77%,23%,877,67,0,13,0,0,18,174,721,89.94871795,6.87179487,0.0,1.33333333,0.0,0.0,1.84615385,17.84615385,2.8,0,975,0,0,22,480,297,25,118,0,40,0,0,927,48,44,15,52,109,14,70,14,0,0,0,0,0,13,0,0,0,21434,2.97435897,75.18878101
