,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
14,14,St Patrick Interparish School,550 NE 16th Ave,GAINESVILLE,FL,32601,29.667398,-82.319288,611110,61111007,Elementary & Secondary Schools,0,60.0,0,60,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
18,18,Sweetwater Branch Academy,1000 NE 16th Ave # C,GAINESVILLE,FL,32601,29.667291,-82.313402,611110,61111010,Elementary & Secondary Schools,0,16.0,0,16,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
177,177,First Presbyterian Preschool,106 SW 3rd St,GAINESVILLE,FL,32601,29.651039,-82.327958,611110,61111004,Elementary & Secondary Schools,0,18.0,0,18,2010,855,1060,950,53%,47%,1398,451,0,15,0,39,107,124,1313,69.55223881,22.43781095,0.0,0.74626866,0.0,1.94029851,5.32338308,6.16915423,2.26,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,1170,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57,22734,7.06467662,38.3
635,635,FRIENDS MRNING MEADOW PRE SCH,503 NE 9TH ST,GAINESVILLE,FL,32601,29.655874,-82.314447,611110,61111007,ELEMENTARY & SECONDARY SCHOOLS,0,15.0,0,15,1329,509,540,789,41%,59%,904,425,0,0,0,0,0,144,760,68.02106847,31.97893153,0.0,0.0,0.0,0.0,0.0,10.83521445,2.61,428,536,282,166,27,522,421,0,40,35,14,0,12,529,666,69,71,11,74,44,33,61,25,16,54,15,14,22,0,0,0,28705,16.77953348,41.0082769
652,652,Loga Springs Intl Academy,931 NE 16th Ave,GAINESVILLE,FL,32601,29.666501,-82.312729,611110,61111007,Elementary & Secondary Schools,0,3.0,0,3,711,437,297,414,42%,58%,617,68,0,0,0,0,26,28,589,86.77918425,9.56399437,0.0,0.0,0.0,0.0,3.65682138,3.93811533,1.63,48,245,319,198,46,403,331,0,72,0,0,0,0,111,600,0,21,0,51,84,29,14,28,11,55,15,65,13,17,19,15,41741,17.72151899,2.39099859
709,709,J J Finley Elementary School,1912 NW 5th Ave,GAINESVILLE,FL,32603,29.656738,-82.35052900000001,611110,61111007,Elementary & Secondary Schools,0,66.0,0,66,1918,612,963,955,50%,50%,1808,39,0,28,0,43,0,152,1695,94.26485923,2.03336809,0.0,1.45985401,0.0,2.24191867,0.0,7.92492179,3.09,125,1528,206,118,22,940,696,0,83,0,43,0,118,1291,614,216,0,40,15,39,0,0,45,10,0,85,29,70,9,23,31,29630,6.56934307,53.43189018
742,742,Coalition for School Readiness,1204 NW 13th St,GAINESVILLE,FL,32601,29.664005,-82.339501,611110,61111007,Elementary & Secondary Schools,0,15.0,0,15,740,325,266,474,36%,64%,726,0,0,0,0,0,14,13,713,98.10810811,0.0,0.0,0.0,0.0,0.0,1.89189189,1.75675676,2.28,130,202,214,388,46,431,418,0,0,0,13,0,0,277,451,0,0,0,45,0,48,0,0,29,16,28,30,58,14,24,33,71771,8.91891892,18.51351351
973,973,Westwood Middle School,3215 NW 15th Ave,GAINESVILLE,FL,32605,29.664091,-82.371418,611110,61111007,Elementary & Secondary Schools,0,93.0,0,93,602,239,321,281,53%,47%,602,0,0,0,0,0,0,54,548,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97009967,2.52,128,171,192,222,41,275,219,6,11,0,12,0,27,162,411,17,12,0,0,0,0,0,0,11,19,31,24,28,0,43,54,105859,17.77408638,9.80066445
1137,1137,DESOTO HIGH SCHOOL INC,4209 NW 75TH ST,GAINESVILLE,FL,32606,29.692587,-82.4219,611110,61111007,ELEMENTARY & SECONDARY SCHOOLS,0,15.0,0,15,4273,1656,2181,2092,51%,49%,3052,313,0,812,0,18,78,263,2822,71.42522818,7.32506436,0.0,19.00304236,0.0,0.42124971,1.8254153999999998,6.15492628,2.57,676,1479,1453,1330,40,2122,1994,0,0,24,0,0,104,1487,2708,156,128,32,40,171,64,47,38,0,149,55,201,76,92,148,259,60288,15.328808800000003,11.70138076
1153,1153,B'Nai Israel,3830 NW 16th Blvd,GAINESVILLE,FL,32605,29.671583000000002,-82.381124,611110,61111007,Elementary & Secondary Schools,0,20.0,0,20,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
