ogc_fid,total_businesses,total_apartments,number_of_crimes,total_pop,households,male,female,white,black,ameri_es,asian,hawn_pi,other,multi_race,hispanic,age_below_18,age_18_40,age_40_65,age_65,age_median,tran_total,tran_car,tran_moto,tran_bike,tran_pub,tran_walk,tran_other,tran_home,student,less_10k,10k_14k,15k_19k,20k_24k,25k_29k,30k_34k,35k_39k,40k_44k,45k_49k,50k_59k,60k_74k,75k_99k,100k_124k,125k_149k,150k_199k,120k_more
1,0,0,2303,955,354,342,613,299,590,0,0,0,27,39,363,295,291,335,68,23,300,276,0,0,24,0,0,0,258,193,29,0,13,11,18,4,27,7,12,13,8,19,0,0,0
2,1,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,2218,3012,677,1370,1642,395,2202,0,11,0,0,404,39,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12
4,3,3,1181,853,437,424,429,794,58,0,1,0,0,0,41,64,297,294,396,43,435,282,0,0,0,0,0,153,64,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0
5,33,5,8251,2010,855,1060,950,1398,451,0,15,0,39,107,124,240,1162,522,172,26,862,554,0,121,60,55,0,72,830,235,104,29,74,72,24,17,50,0,115,17,33,14,0,14,57
6,2,2,1913,1329,509,540,789,904,425,0,0,0,0,0,144,428,536,282,166,27,522,421,0,40,35,14,0,12,529,69,71,11,74,44,33,61,25,16,54,15,14,22,0,0,0
7,1,1,641,711,437,297,414,617,68,0,0,0,0,26,28,48,245,319,198,46,403,331,0,72,0,0,0,0,111,0,21,0,51,84,29,14,28,11,55,15,65,13,17,19,15
8,1,3,1064,718,352,340,378,439,249,0,12,0,18,0,71,118,189,317,188,44,446,287,0,117,0,19,0,23,143,47,0,16,8,31,18,0,33,0,58,36,92,13,0,0,0
9,1,0,4049,1215,386,462,753,86,1085,0,22,0,0,22,41,294,327,362,464,36,347,267,0,0,50,6,0,24,325,94,25,0,82,13,0,18,17,13,25,28,49,8,14,0,0
10,3,0,2872,858,297,323,535,8,826,0,0,0,0,24,14,320,257,243,76,25,221,149,0,0,0,56,0,16,371,49,60,37,20,15,16,31,27,14,7,21,0,0,0,0,0
11,2,4,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,1,473,740,325,266,474,726,0,0,0,0,0,14,13,130,202,214,388,46,431,418,0,0,0,13,0,0,277,0,0,0,45,0,48,0,0,29,16,28,30,58,14,24,33
13,28,17,3003,1914,973,1248,666,1690,22,0,152,0,4,46,609,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0
14,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,525,2547,960,1382,1165,2141,160,0,186,0,0,60,174,710,551,1007,558,42,1209,1093,27,0,0,11,0,78,785,0,29,53,17,27,70,65,56,11,104,37,161,112,78,72,68
16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,1,233,868,429,406,462,679,0,0,189,0,0,0,183,254,310,229,150,34,423,346,0,0,0,0,0,77,262,0,0,26,30,0,16,49,26,9,89,108,0,39,9,0,28
18,5,0,310,4273,1656,2181,2092,3052,313,0,812,0,18,78,263,676,1479,1453,1330,40,2122,1994,0,0,24,0,0,104,1487,156,128,32,40,171,64,47,38,0,149,55,201,76,92,148,259
19,1,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,0,680,1345,763,510,835,1177,29,9,92,0,0,38,35,130,180,620,830,56,683,582,0,31,0,0,0,70,227,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88
22,0,0,420,1284,501,557,727,1247,11,0,0,0,26,0,148,189,405,340,700,52,685,666,0,0,0,0,0,19,229,12,28,10,29,13,24,0,12,15,13,95,78,37,98,0,37
23,2,0,862,1297,389,675,622,1297,0,0,0,0,0,0,33,86,931,212,136,22,537,337,0,152,19,0,0,29,860,46,33,36,35,45,17,12,0,0,0,9,87,37,0,8,24
24,4,1,1817,1809,835,915,894,1707,26,0,49,0,0,27,124,265,692,352,1000,38,897,664,13,119,0,36,0,65,472,47,29,16,59,9,24,0,62,25,55,95,152,102,28,75,57
25,1,0,1255,1733,213,868,865,870,816,0,11,0,19,17,77,297,460,655,642,45,217,129,0,9,22,7,0,50,247,81,10,21,21,17,30,10,0,6,7,10,0,0,0,0,0
26,1,1,952,1490,421,735,755,1290,74,0,63,0,15,48,514,407,419,468,392,30,532,473,0,0,7,23,0,29,454,25,12,17,22,49,0,0,21,14,42,23,33,14,40,0,109
27,0,0,326,1790,150,1454,336,586,1145,15,0,0,29,15,113,75,1004,653,116,36,202,173,0,0,29,0,0,0,119,27,25,7,19,0,5,4,0,5,14,12,0,28,0,4,0
